,rmse,mean,median,std,min,max,sse
ConfidenceTrajectory.kitti,5.501525150273973,4.577398911640579,3.7185694080618568,3.051917132362658,0.038135071415358365,11.235988594617714,33172.38976109038
ORBTrajectory.kitti,4.683363634608291,4.0027082463907275,3.5904903432240154,2.4315060411701723,0.034344853802808245,10.940636073297034,24039.548847632635
